,Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Off.Dvoa,Lastyear,Wei.Offense,Rank,Passoff.,Passrank,Rushoff.,Rushrank,Non-adj total,Non-adj Pass,Non-adj Rush,Var.,Rank,Sched,Rank,Drives,Yds/Dr,Pts/Dr,Tos/Dr,Int/Dr,Fum/Dr,Los/Dr,Plays/Dr,Top/Dr,Dsr,Fantasy Points
0,2015,GB,16,16,347.00,572.00,60.7,3821.00,6.7,31.00,8.00,92.71,58.00,344.00,5.9,1.00,0.022,1.0,-0.08,21.0,0.138,16.0,-0.057,10.0,0.008,0.107,-0.05,0.089,26.0,-0.032,5.0,182.0,30.47,1.93,0.093,0.044,0.049,28.14,5.9,158.0,0.691,380.02
1,2014,GB,16,16,341.00,520.00,65.6,4381.00,8.4,38.00,5.00,112.19,43.00,269.00,6.3,2.00,0.247,9.0,0.268,1.0,0.465,2.0,0.053,6.0,0.249,0.472,0.05,0.053,7.0,-0.003,16.0,163.0,38.39,2.73,0.074,0.037,0.037,28.6,6.28,178.0,0.762,293.24
2,2013,GB,9,9,193.00,290.00,66.6,2536.00,8.7,17.00,6.00,104.90,30.00,120.00,4,0.00,0.086,3.0,0.006,16.0,0.122,13.0,0.11,3.0,0.12,0.174,0.121,0.146,31.0,0.03,27.0,182.0,35.95,2.2,0.126,0.088,0.038,27.83,6.07,162.0,0.716,354.14
3,2012,GB,16,16,371.00,552.00,67.2,4295.00,7.8,39.00,8.00,108.02,54.00,259.00,4.8,2.00,0.195,1.0,0.19,4.0,0.407,3.0,-0.007,13.0,0.151,0.339,-0.022,0.06,15.0,-0.031,7.0,180.0,33.01,2.26,0.083,0.044,0.039,30.53,5.92,161.0,0.722,169.44
4,2011,GB,15,15,342.00,501.00,68.3,4637.00,9.3,45.00,6.00,122.48,60.00,257.00,4.3,3.00,0.338,7.0,0.33,2.0,0.676,1.0,0.055,7.0,0.341,0.695,0.034,0.032,3.0,0.017,26.0,168.0,39.43,3.05,0.065,0.048,0.018,29.97,5.95,171.0,0.771,343.60
5,2010,GB,15,15,312.00,475.00,65.7,3922.00,8.3,28.00,11.00,101.22,64.00,356.00,5.6,4.00,0.115,5.0,0.095,8.0,0.291,5.0,-0.005,10.0,0.113,0.303,-0.025,0.073,14.0,-0.021,9.0,175.0,32.9,2.06,0.114,0.074,0.04,29.72,5.81,174.0,0.701,397.18
6,2009,GB,16,16,350.00,541.00,64.7,4434.00,8.2,30.00,7.00,103.24,58.00,316.00,5.4,5.00,0.188,11.0,0.216,3.0,0.31,9.0,0.145,2.0,0.215,0.351,0.154,0.047,7.0,0.033,31.0,185.0,32.92,2.33,0.081,0.043,0.038,31.4,5.78,170.0,0.713,304.48
7,2008,GB,16,16,341.00,536.00,63.6,4038.00,7.5,28.00,13.00,93.80,56.00,207.00,3.7,4.00,0.073,5.0,0.082,10.0,0.231,10.0,-0.007,17.0,0.072,0.243,-0.023,0.072,19.0,-0.001,14.0,176.0,30.86,2.01,0.119,0.074,0.045,28.03,5.91,171.0,0.686,342.96
8,2007,GB,2,0,20.00,28.00,71.4,218.00,7.8,1.00,0.00,105.95,7.00,29.00,4.1,0.00,0.157,19.0,0.149,4.0,0.311,6.0,0.043,12.0,0.168,0.358,-0.001,0.118,30.0,0.0,18.0,181.0,32.75,2.18,0.127,0.083,0.044,31.22,5.59,159.0,0.689,290.22
9,2006,GB,2,0,6.00,15.00,40.0,46.00,3.1,0.00,0.00,48.19,2.00,11.00,5.5,0.00,-0.049,16.0,-0.063,21.0,0.032,17.0,-0.041,23.0,-0.081,0.006,-0.084,0.072,18.0,-0.007,13.0,194.0,27.9,1.38,0.165,0.093,0.072,29.83,5.75,151.0,0.643,15.62
10,2005,GB,3,0,9.00,16.00,56.2,65.00,4.1,0.00,1.00,39.84,2.00,7.00,3.5,0.00,-0.039,6.0,-0.067,20.0,0.116,15.0,-0.114,27.0,-0.06,0.071,-0.101,0.04,2.0,-0.032,2.0,186.0,27.92,1.49,0.226,0.161,0.065,28.83,5.78,160.0,0.673,0.94
