Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,KC,15,15,328.00,489.00,67.1,3502.00,7.2,15.00,8.00,91.23,48.00,134.00,2.8,5.00,223.78,
2015,KC,16,16,307.00,470.00,65.3,3486.00,7.4,20.00,7.00,95.40,84.00,498.00,5.9,2.00,267.24,
2014,KC,15,15,303.00,464.00,65.3,3265.00,7.0,18.00,6.00,93.36,49.00,254.00,5.2,1.00,220.00,
2013,KC,15,15,308.00,508.00,60.6,3313.00,6.5,23.00,7.00,89.13,76.00,431.00,5.7,1.00,253.22,
2012,SF,10,9,153.00,218.00,70.2,1737.00,8.0,13.00,5.00,104.09,31.00,132.00,4.3,0.00,122.68,
2011,SF,16,16,274.00,446.00,61.4,3150.00,7.1,17.00,5.00,90.74,52.00,179.00,3.4,2.00,209.90,
2010,SF,11,10,204.00,342.00,59.6,2370.00,6.9,14.00,10.00,82.13,18.00,60.00,3.3,0.00,134.80,
2009,SF,11,10,225.00,372.00,60.5,2350.00,6.3,18.00,12.00,81.50,24.00,51.00,2.1,0.00,144.50,
2008,SF,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
2007,SF,7,7,94.00,193.00,48.7,914.00,4.7,2.00,4.00,57.22,13.00,89.00,6.8,0.00,35.46,
2006,SF,16,16,257.00,442.00,58.1,2890.00,6.5,16.00,16.00,74.76,44.00,147.00,3.3,2.00,164.30,
2005,SF,9,7,84.00,165.00,50.9,875.00,5.3,1.00,11.00,40.85,30.00,103.00,3.4,0.00,21.30,
