Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,PIT,14,14,328.00,509.00,64.4,3819.00,7.5,29.00,13.00,95.40,16.00,14.00,0.9,1.00,252.16,
2015,PIT,12,11,319.00,469.00,68.0,3938.00,8.4,21.00,16.00,94.46,15.00,29.00,1.9,0.00,214.12,
2014,PIT,16,16,408.00,608.00,67.1,4952.00,8.1,32.00,9.00,103.32,32.00,27.00,0.8,0.00,306.18,
2013,PIT,16,16,375.00,584.00,64.2,4261.00,7.3,28.00,14.00,91.99,26.00,99.00,3.8,1.00,260.84,
2012,PIT,13,13,284.00,449.00,63.3,3265.00,7.3,26.00,8.00,96.97,26.00,92.00,3.5,0.00,223.80,
2011,PIT,15,15,324.00,513.00,63.2,4077.00,7.9,21.00,14.00,90.10,31.00,70.00,2.3,0.00,216.08,
2010,PIT,12,12,240.00,389.00,61.7,3200.00,8.2,17.00,5.00,96.98,33.00,176.00,5.3,2.00,211.60,
2009,PIT,15,15,337.00,506.00,66.6,4328.00,8.6,26.00,12.00,100.47,40.00,82.00,2.0,2.00,267.32,
2008,PIT,16,16,281.00,469.00,59.9,3301.00,7.0,17.00,15.00,80.10,34.00,101.00,3.0,2.00,177.44,
2007,PIT,15,15,264.00,404.00,65.3,3154.00,7.8,32.00,11.00,104.13,35.00,204.00,5.8,2.00,260.56,
2006,PIT,15,15,280.00,469.00,59.7,3513.00,7.5,18.00,23.00,75.40,32.00,98.00,3.1,2.00,184.32,
2005,PIT,12,12,168.00,268.00,62.7,2385.00,8.9,17.00,9.00,98.55,31.00,69.00,2.2,3.00,168.30,
2004,PIT,14,13,196.00,295.00,66.4,2621.00,8.9,17.00,11.00,98.14,56.00,144.00,2.6,1.00,167.24,
