Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,ARI,15,15,364.00,597.00,61.0,4233.00,7.1,26.00,14.00,87.18,14.00,38.00,2.7,0.00,243.12,
2015,ARI,16,16,342.00,537.00,63.7,4671.00,8.7,35.00,11.00,104.59,25.00,24.00,1.0,1.00,309.24,
2014,ARI,6,6,141.00,224.00,62.9,1626.00,7.3,11.00,3.00,95.57,8.00,25.00,3.1,0.00,103.54,
2013,ARI,16,16,362.00,572.00,63.3,4274.00,7.5,24.00,22.00,83.92,27.00,3.00,0.1,0.00,217.26,
2012,OAK,15,15,345.00,565.00,61.1,4018.00,7.1,22.00,14.00,85.25,18.00,36.00,2,1.00,224.32,
2011,OAK,10,9,199.00,328.00,60.7,2751.00,8.4,13.00,16.00,80.48,16.00,20.00,1.2,1.00,136.04,
2010,CIN,16,16,362.00,586.00,61.8,3970.00,6.8,26.00,20.00,82.36,32.00,50.00,1.6,0.00,223.80,
2009,CIN,16,16,282.00,466.00,60.5,3094.00,6.6,21.00,13.00,83.57,39.00,93.00,2.4,3.00,209.06,
2008,CIN,4,4,75.00,129.00,58.1,731.00,5.7,3.00,4.00,68.98,6.00,38.00,6.3,0.00,37.04,
2007,CIN,16,16,373.00,575.00,64.9,4131.00,7.2,26.00,20.00,86.66,24.00,10.00,0.4,0.00,228.24,
2006,CIN,16,16,324.00,520.00,62.3,4035.00,7.8,28.00,13.00,93.87,26.00,37.00,1.4,0.00,237.10,
2005,CIN,16,16,345.00,509.00,67.8,3836.00,7.5,32.00,12.00,101.10,34.00,41.00,1.2,1.00,265.54,
2004,CIN,13,13,263.00,432.00,60.9,2897.00,6.7,18.00,18.00,77.29,18.00,47.00,2.6,1.00,158.58,
2003,CIN,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
