Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,CAR,6,2,36.00,53.00,67.9,453.00,8.5,2.00,5.00,67.57,1.00,4.00,4,0.00,16.52,
2015,CAR,3,0,4.00,6.00,66.7,36.00,6,0.00,0.00,82.64,7.00,-2.00,-0.3,0.00,1.24,
2014,CAR,6,2,65.00,97.00,67.0,701.00,7.2,5.00,0.00,105.22,8.00,24.00,3,0.00,50.44,
2013,CAR,4,0,0.00,0.00,0,0.00,0,0.00,0.00,0,5.00,0.00,0,0.00,0.00,
2012,CAR,2,0,4.00,4.00,100,58.00,14.5,0.00,0.00,118.75,0.00,0.00,0,0.00,2.32,
2011,CAR,2,0,0.00,0.00,0,0.00,0,0.00,0.00,0,2.00,-2.00,-1,0.00,-0.20,
2010,ARI,12,9,169.00,327.00,51.7,2065.00,6.3,7.00,10.00,65.86,5.00,25.00,5,0.00,89.10,
2009,CLE,8,7,81.00,182.00,44.5,888.00,4.9,3.00,10.00,42.10,10.00,8.00,0.8,2.00,34.32,
2008,CLE,10,9,142.00,283.00,50.2,1615.00,5.7,9.00,8.00,66.50,25.00,55.00,2.2,0.00,90.10,
2007,CLE,16,15,298.00,527.00,56.5,3787.00,7.2,29.00,19.00,82.47,32.00,70.00,2.2,3.00,252.48,
2006,CLE,5,3,66.00,117.00,56.4,793.00,6.8,5.00,8.00,63.09,4.00,47.00,11.8,0.00,38.42,
2005,CLE,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
