Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,NO,16,16,471.00,673.00,70.0,5208.00,7.7,37.00,15.00,101.69,23.00,20.00,0.9,2.00,332.32,
2015,NO,15,15,428.00,627.00,68.3,4870.00,7.8,32.00,11.00,101.03,24.00,14.00,0.6,1.00,304.20,
2014,NO,16,16,456.00,659.00,69.2,4952.00,7.5,33.00,17.00,97.00,27.00,68.00,2.5,1.00,302.98,
2013,NO,16,16,446.00,650.00,68.6,5162.00,7.9,39.00,12.00,104.66,35.00,52.00,1.5,3.00,357.68,
2012,NO,16,16,422.00,670.00,63.0,5177.00,7.7,43.00,19.00,96.34,15.00,5.00,0.3,1.00,345.58,
2011,NO,16,16,468.00,657.00,71.2,5476.00,8.3,46.00,14.00,110.63,21.00,86.00,4.1,1.00,391.64,
2010,NO,16,16,448.00,658.00,68.1,4620.00,7.0,33.00,22.00,90.86,18.00,-3.00,-0.2,0.00,269.20,
2009,NO,15,15,363.00,514.00,70.6,4388.00,8.5,34.00,11.00,109.64,22.00,33.00,1.5,2.00,292.42,
2008,NO,16,16,413.00,635.00,65.0,5069.00,8.0,34.00,17.00,96.24,22.00,-1.00,0.0,0.00,302.66,
2007,NO,16,16,440.00,652.00,67.5,4423.00,6.8,28.00,18.00,89.40,23.00,52.00,2.3,1.00,257.12,
2006,NO,16,16,356.00,554.00,64.3,4418.00,8.0,26.00,11.00,96.23,42.00,32.00,0.8,0.00,259.92,
2005,LAC,16,16,323.00,500.00,64.6,3576.00,7.2,24.00,15.00,89.22,21.00,49.00,2.3,1.00,209.94,
2004,LAC,15,15,262.00,400.00,65.5,3159.00,7.9,27.00,7.00,104.78,53.00,85.00,1.6,2.00,240.66,
2003,LAC,11,11,205.00,356.00,57.6,2108.00,5.9,11.00,15.00,67.49,21.00,84.00,4,0.00,110.82,
2002,LAC,16,16,320.00,526.00,60.8,3284.00,6.2,17.00,16.00,76.89,38.00,130.00,3.4,1.00,188.36,
2001,LAC,2,0,15.00,27.00,55.6,221.00,8.2,1.00,0.00,94.83,2.00,18.00,9,0.00,14.64,
