Season,Player,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points
2016,Drew Brees,NO,16,16,471,673,70,5208,7.7,37,15,101.69,23,20,0.9,2,332.32
2015,Drew Brees,NO,15,15,428,627,68.3,4870,7.8,32,11,101.03,24,14,0.6,1,304.2
2014,Drew Brees,NO,16,16,456,659,69.2,4952,7.5,33,17,97,27,68,2.5,1,302.98
2013,Drew Brees,NO,16,16,446,650,68.6,5162,7.9,39,12,104.66,35,52,1.5,3,357.68
2012,Drew Brees,NO,16,16,422,670,63,5177,7.7,43,19,96.34,15,5,0.3,1,345.58
2011,Drew Brees,NO,16,16,468,657,71.2,5476,8.3,46,14,110.63,21,86,4.1,1,391.64
2010,Drew Brees,NO,16,16,448,658,68.1,4620,7,33,22,90.86,18,-3,-0.2,0,269.2
2009,Drew Brees,NO,15,15,363,514,70.6,4388,8.5,34,11,109.64,22,33,1.5,2,292.42
2008,Drew Brees,NO,16,16,413,635,65,5069,8,34,17,96.24,22,-1,0,0,302.66
2007,Drew Brees,NO,16,16,440,652,67.5,4423,6.8,28,18,89.4,23,52,2.3,1,257.12
2006,Drew Brees,NO,16,16,356,554,64.3,4418,8,26,11,96.23,42,32,0.8,0,259.92
2005,Drew Brees,SD,16,16,323,500,64.6,3576,7.2,24,15,89.22,21,49,2.3,1,209.94
2004,Drew Brees,SD,15,15,262,400,65.5,3159,7.9,27,7,104.78,53,85,1.6,2,240.66
2003,Drew Brees,SD,11,11,205,356,57.6,2108,5.9,11,15,67.49,21,84,4,0,110.82
2002,Drew Brees,SD,16,16,320,526,60.8,3284,6.2,17,16,76.89,38,130,3.4,1,188.36
2001,Drew Brees,SD,2,0,15,27,55.6,221,8.2,1,0,94.83,2,18,9,0,14.64
