Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,NYG,16,16,377.00,598.00,63.0,4027.00,6.7,26.00,16.00,86.02,22.00,-9.00,-0.4,0.00,224.18,
2015,NYG,16,16,387.00,618.00,62.6,4432.00,7.2,35.00,14.00,93.59,21.00,70.00,3.3,0.00,288.28,
2014,NYG,16,16,379.00,601.00,63.1,4410.00,7.3,30.00,14.00,92.14,12.00,31.00,2.6,1.00,269.50,
2013,NYG,16,16,317.00,551.00,57.5,3818.00,6.9,18.00,27.00,69.37,18.00,36.00,2,0.00,170.32,
2012,NYG,16,16,321.00,536.00,59.9,3948.00,7.4,26.00,15.00,87.19,20.00,30.00,1.5,0.00,232.92,
2011,NYG,16,16,358.00,588.00,60.9,4910.00,8.4,29.00,16.00,92.72,35.00,15.00,0.4,1.00,279.90,
2010,NYG,16,16,339.00,539.00,62.9,4002.00,7.4,31.00,25.00,85.28,32.00,70.00,2.2,0.00,231.08,
2009,NYG,16,16,317.00,509.00,62.3,4021.00,7.9,27.00,14.00,93.12,17.00,65.00,3.8,0.00,231.34,
2008,NYG,16,16,289.00,479.00,60.3,3238.00,6.8,21.00,10.00,86.44,20.00,10.00,0.5,1.00,198.52,
2007,NYG,16,16,297.00,529.00,56.1,3336.00,6.3,23.00,20.00,73.89,29.00,69.00,2.4,1.00,184.34,
2006,NYG,16,16,301.00,522.00,57.7,3244.00,6.2,24.00,18.00,76.99,25.00,21.00,0.8,0.00,187.86,
2005,NYG,16,16,294.00,557.00,52.8,3762.00,6.8,24.00,17.00,75.86,29.00,80.00,2.8,1.00,224.48,
2004,NYG,9,7,95.00,197.00,48.2,1043.00,5.3,6.00,9.00,55.45,6.00,35.00,5.8,0.00,49.22,
