Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,CHI,5,5,81.00,137.00,59.1,1059.00,7.7,4.00,5.00,78.09,5.00,24.00,4.8,0.00,46.76,
2015,CHI,15,15,311.00,483.00,64.4,3659.00,7.6,21.00,11.00,92.31,38.00,201.00,5.3,1.00,224.46,
2014,CHI,15,15,370.00,561.00,66.0,3812.00,6.8,28.00,18.00,88.63,39.00,191.00,4.9,2.00,255.58,
2013,CHI,11,11,225.00,356.00,63.2,2619.00,7.4,19.00,12.00,89.15,23.00,118.00,5.1,0.00,168.56,
2012,CHI,15,15,255.00,434.00,58.8,3033.00,7.0,19.00,14.00,81.32,41.00,233.00,5.7,0.00,184.62,
2011,CHI,10,10,182.00,314.00,58.0,2319.00,7.4,13.00,7.00,85.67,18.00,56.00,3.1,1.00,136.36,
2010,CHI,15,15,261.00,432.00,60.4,3274.00,7.6,23.00,16.00,86.32,51.00,232.00,4.5,1.00,210.16,
2009,CHI,16,16,336.00,555.00,60.5,3666.00,6.6,27.00,26.00,76.75,40.00,173.00,4.3,1.00,227.94,
2008,DEN,16,16,384.00,616.00,62.3,4526.00,7.3,25.00,18.00,86.00,57.00,200.00,3.5,2.00,277.04,
2007,DEN,16,16,297.00,467.00,63.6,3497.00,7.5,20.00,14.00,88.07,44.00,205.00,4.7,1.00,210.38,
2006,DEN,5,5,81.00,137.00,59.1,1001.00,7.3,9.00,5.00,88.49,12.00,18.00,1.5,0.00,63.84,
