Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,CLE,5,3,90.00,165.00,54.5,1100.00,6.7,6.00,6.00,72.29,7.00,21.00,3,0.00,52.10,
2015,CLE,8,8,186.00,292.00,63.7,2109.00,7.2,12.00,4.00,93.25,20.00,98.00,4.9,1.00,128.16,
2014,TB,11,11,184.00,327.00,56.3,2206.00,6.7,11.00,14.00,70.46,25.00,127.00,5.1,3.00,126.94,
2013,CHI,8,5,149.00,224.00,66.5,1829.00,8.2,13.00,1.00,109.02,13.00,69.00,5.3,1.00,136.06,
2012,CHI,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
2011,CHI,3,2,35.00,55.00,63.6,414.00,7.5,2.00,4.00,68.30,12.00,68.00,5.7,0.00,25.36,
2009,CAR,1,0,1.00,6.00,16.7,2.00,0.3,0.00,0.00,39.58,0.00,0.00,0,0.00,0.08,
2008,CAR,2,0,0.00,0.00,0,0.00,0,0.00,0.00,0,4.00,-3.00,-0.8,0.00,-0.30,
2007,OAK,9,9,111.00,190.00,58.4,1151.00,6.1,10.00,11.00,69.43,29.00,143.00,4.9,0.00,74.34,
2006,DET,2,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,1.50,
2005,ARI,9,6,163.00,270.00,60.4,1836.00,6.8,9.00,11.00,74.86,29.00,139.00,4.8,0.00,95.34,
2004,ARI,14,13,233.00,408.00,57.1,2511.00,6.2,11.00,10.00,74.09,36.00,112.00,3.1,2.00,139.14,
2003,ARI,10,3,95.00,166.00,57.2,1018.00,6.1,5.00,6.00,70.31,28.00,158.00,5.6,1.00,66.52,
2002,ARI,2,0,7.00,18.00,38.9,66.00,3.7,0.00,2.00,10.19,1.00,20.00,20,0.00,0.64,
