Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,TEN,4,1,30.00,51.00,58.8,284.00,5.6,2.00,2.00,71.04,4.00,3.00,0.8,0.00,15.66,
2015,DAL,9,8,119.00,204.00,58.3,1276.00,6.3,5.00,7.00,70.63,15.00,78.00,5.2,0.00,64.84,
2014,MIN,3,3,41.00,71.00,57.7,425.00,6.0,3.00,4.00,65.76,7.00,19.00,2.7,0.00,22.90,
2013,MIN,9,6,153.00,254.00,60.2,1807.00,7.1,11.00,9.00,81.59,18.00,57.00,3.2,1.00,107.98,
2012,KC,9,8,161.00,277.00,58.1,1796.00,6.5,6.00,12.00,66.70,27.00,145.00,5.4,1.00,78.34,
2011,KC,9,9,160.00,269.00,59.5,1713.00,6.4,10.00,9.00,76.63,25.00,99.00,4.0,0.00,96.02,
2010,KC,15,15,262.00,450.00,58.2,3116.00,6.9,27.00,7.00,92.97,33.00,125.00,3.8,0.00,229.14,
2009,KC,15,15,271.00,493.00,55.0,2924.00,5.9,16.00,16.00,69.90,50.00,189.00,3.8,0.00,163.86,
2008,NE,16,15,327.00,516.00,63.4,3693.00,7.2,21.00,11.00,89.40,73.00,270.00,3.7,2.00,244.72,
2007,NE,6,0,4.00,7.00,57.1,38.00,5.4,0.00,1.00,32.74,4.00,12.00,3,1.00,6.72,
2006,NE,6,0,5.00,8.00,62.5,32.00,4,0.00,0.00,70.83,2.00,4.00,2,0.00,-0.32,
2005,NE,2,0,13.00,24.00,54.2,183.00,7.6,2.00,1.00,89.41,6.00,12.00,2,0.00,14.52,
