Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,MIA,4,3,55.00,87.00,63.2,721.00,8.3,8.00,3.00,105.58,1.00,-1.00,-1,0.00,54.74,
2015,MIA,1,0,1.00,1.00,100,14.00,14,0.00,0.00,118.75,3.00,-2.00,-0.7,0.00,0.36,
2014,MIA,2,0,2.00,4.00,50.0,21.00,5.2,0.00,0.00,65.62,2.00,-2.00,-1,0.00,0.64,
2013,MIA,1,0,2.00,6.00,33.3,53.00,8.8,0.00,2.00,27.08,0.00,0.00,0,0.00,-1.88,
2012,MIA,2,0,11.00,19.00,57.9,131.00,6.9,1.00,0.00,96.60,5.00,-3.00,-0.6,0.00,8.94,
2011,MIA,13,12,211.00,348.00,60.6,2510.00,7.2,16.00,9.00,87.21,32.00,72.00,2.2,2.00,153.60,
2010,CAR,6,5,79.00,143.00,55.2,857.00,6.0,5.00,10.00,55.61,5.00,25.00,5,0.00,32.78,
2009,CAR,7,5,85.00,138.00,61.6,1053.00,7.6,8.00,2.00,98.49,12.00,-3.00,-0.2,0.00,69.82,
2008,CAR,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
2007,CAR,9,3,63.00,111.00,56.8,730.00,6.6,3.00,5.00,67.02,3.00,5.00,1.7,0.00,31.70,
