Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,LAC,16,16,349.00,578.00,60.4,4386.00,7.6,33.00,21.00,87.91,14.00,35.00,2.5,0.00,258.94,
2015,LAC,16,16,437.00,661.00,66.1,4792.00,7.2,29.00,13.00,93.81,17.00,28.00,1.6,0.00,280.48,
2014,LAC,16,16,379.00,570.00,66.5,4286.00,7.5,31.00,18.00,93.79,38.00,104.00,2.7,0.00,265.84,
2013,LAC,16,16,378.00,544.00,69.5,4478.00,8.2,32.00,11.00,105.47,28.00,72.00,2.6,0.00,287.42,
2012,LAC,16,16,338.00,527.00,64.1,3606.00,6.8,26.00,15.00,88.63,27.00,40.00,1.5,0.00,208.24,
2011,LAC,16,16,366.00,582.00,62.9,4624.00,7.9,27.00,20.00,88.74,26.00,36.00,1.4,1.00,254.56,
2010,LAC,16,16,357.00,541.00,66.0,4710.00,8.7,30.00,13.00,101.82,29.00,52.00,1.8,0.00,281.60,
2009,LAC,16,16,317.00,486.00,65.2,4254.00,8.8,28.00,9.00,104.40,26.00,50.00,1.9,1.00,269.16,
2008,LAC,16,16,312.00,478.00,65.3,4009.00,8.4,34.00,11.00,105.54,31.00,84.00,2.7,0.00,278.76,
2007,LAC,16,16,277.00,460.00,60.2,3152.00,6.9,21.00,15.00,82.45,29.00,33.00,1.1,1.00,177.38,
2006,LAC,16,16,284.00,460.00,61.7,3388.00,7.4,22.00,9.00,92.01,48.00,49.00,1.0,0.00,208.42,
2005,LAC,2,0,12.00,22.00,54.5,115.00,5.2,0.00,1.00,50.38,1.00,-1.00,-1,0.00,2.50,
2004,LAC,2,0,5.00,8.00,62.5,33.00,4.1,1.00,0.00,110.94,4.00,-5.00,-1.2,0.00,4.82,
