Season,Team,Gms,GS,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points,
2016,NE,12,12,291.00,432.00,67.4,3554.00,8.2,28.00,2.00,112.17,28.00,64.00,2.3,0.00,258.56,
2015,NE,16,16,402.00,624.00,64.4,4770.00,7.6,36.00,7.00,102.18,34.00,53.00,1.6,3.00,343.70,
2014,NE,16,16,374.00,583.00,64.2,4109.00,7.0,33.00,9.00,97.34,36.00,57.00,1.6,0.00,278.06,
2013,NE,16,16,380.00,628.00,60.5,4343.00,6.9,25.00,11.00,87.29,33.00,18.00,0.5,0.00,251.52,
2012,NE,16,16,401.00,637.00,63.0,4827.00,7.6,34.00,8.00,98.68,23.00,32.00,1.4,4.00,340.28,
2011,NE,16,16,401.00,611.00,65.6,5235.00,8.6,39.00,12.00,105.57,43.00,109.00,2.5,3.00,366.30,
2010,NE,16,16,324.00,492.00,65.9,3900.00,7.9,36.00,4.00,110.99,31.00,30.00,1.0,1.00,299.00,
2009,NE,16,16,371.00,565.00,65.7,4398.00,7.8,28.00,13.00,96.17,29.00,44.00,1.5,1.00,270.32,
2008,NE,1,1,7.00,11.00,63.6,76.00,6.9,0.00,0.00,83.90,0.00,0.00,0,0.00,3.04,
2007,NE,16,16,398.00,578.00,68.9,4806.00,8.3,50.00,8.00,117.18,37.00,98.00,2.6,2.00,390.04,
2006,NE,16,16,319.00,516.00,61.8,3529.00,6.8,24.00,12.00,87.91,49.00,102.00,2.1,0.00,219.36,
2005,NE,16,16,334.00,530.00,63.0,4110.00,7.8,26.00,14.00,92.26,27.00,89.00,3.3,1.00,249.30,
2004,NE,16,16,288.00,474.00,60.8,3692.00,7.8,28.00,14.00,92.55,43.00,28.00,0.7,0.00,224.48,
2003,NE,16,16,317.00,527.00,60.2,3620.00,6.9,23.00,12.00,85.89,42.00,63.00,1.5,1.00,215.10,
2002,NE,16,16,373.00,601.00,62.1,3764.00,6.3,28.00,14.00,85.72,42.00,110.00,2.6,1.00,253.56,
2001,NE,15,14,264.00,413.00,63.9,2843.00,6.9,18.00,12.00,86.46,36.00,43.00,1.2,0.00,166.32,
