Rk,Player,Pos,Team,Gms,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,PPG,Fantasy Points,

1,Aaron Rodgers,QB,GB,16,401,610,66,4428,7,40,7,104,67,369,6,4,23.8,387.02,
2,Matt Ryan,QB,ATL,16,373,534,70,4944,9,38,7,117,35,117,3,0,21.7,354.46,
3,Drew Brees,QB,NO,16,471,673,70,5208,8,37,15,102,23,20,1,2,20.8,347.32,
4,Andrew Luck,QB,IND,15,346,545,64,4240,8,31,13,96,64,341,5,2,20.5,320.70,
5,Kirk Cousins,QB,WAS,16,406,606,67,4917,8,25,12,97,34,96,3,4,18.8,312.28,
6,Dak Prescott,QB,DAL,16,311,459,68,3667,8,23,4,105,57,282,5,6,17.9,290.88,
7,Matthew Stafford,QB,DET,16,388,594,65,4327,7,24,10,93,37,207,6,2,17.5,289.78,
8,Blake Bortles,QB,JAX,16,368,625,59,3905,6,23,16,79,58,359,6,3,16.9,286.60,
9,Russell Wilson,QB,SEA,16,353,546,65,4219,8,21,11,93,72,259,4,1,16.8,280.06,
10,Philip Rivers,QB,LAC,16,349,578,60,4386,8,33,21,88,14,35,3,0,16.2,279.94,
11,Tyrod Taylor,QB,BUF,15,270,437,62,3023,7,17,6,90,95,580,6,6,18.1,276.92,
12,Jameis Winston,QB,TB,16,345,567,61,4090,7,28,18,86,52,168,3,1,16.0,274.40,
13,Derek Carr,QB,OAK,15,356,559,64,3933,7,28,6,97,38,69,2,0,17.9,274.22,
14,Marcus Mariota,QB,TEN,15,276,451,61,3426,8,26,9,96,60,349,6,2,17.3,268.94,
15,Andy Dalton,QB,CIN,16,364,563,65,4206,8,18,8,92,46,184,4,4,16.3,268.64,
16,Cam Newton,QB,CAR,15,270,510,53,3509,7,19,14,76,90,359,4,5,17.0,268.26,
17,Ben Roethlisberger,QB,PIT,14,328,509,64,3819,8,29,13,95,16,14,1,1,18.0,265.16,
18,Tom Brady,QB,NE,12,291,432,67,3554,8,28,2,112,28,64,2,0,21.5,260.56,
19,Joe Flacco,QB,BAL,16,436,672,65,4317,6,20,15,84,21,58,3,2,15.2,257.48,
20,Carson Palmer,QB,ARI,15,364,597,61,4233,7,26,14,87,14,38,3,0,16.2,257.12,
21,Eli Manning,QB,NYG,16,377,598,63,4027,7,26,16,86,22,-9,0,0,14.0,240.18,
22,Alex Smith,QB,KC,15,328,489,67,3502,7,15,8,91,48,134,3,5,14.9,232.28,
23,Carson Wentz,QB,PHI,16,379,607,62,3782,6,16,14,79,46,150,3,2,13.3,227.48,
24,Sam Bradford,QB,MIN,15,395,552,72,3877,7,20,5,99,20,53,3,0,14.7,226.38,
25,Colin Kaepernick,QB,SF,12,196,332,59,2241,7,16,4,90,69,468,7,2,16.7,204.44,
26,Ryan Tannehill,QB,MIA,13,261,389,67,2995,8,19,12,94,39,164,4,1,14.6,202.20,
27,Trevor Siemian,QB,DEN,14,289,486,60,3401,7,18,10,85,28,57,2,0,13.7,201.74,
28,Brock Osweiler,QB,HOU,15,301,510,59,2957,6,15,16,72,30,131,4,2,11.3,185.28,
29,Ryan Fitzpatrick,QB,NYJ,14,228,403,57,2710,7,12,17,70,33,130,4,0,9.5,150.40,
30,Case Keenum,QB,LAR,10,196,322,61,2201,7,9,11,76,20,51,3,1,11.1,122.14,
31,Matt Barkley,QB,CHI,7,129,216,60,1611,8,8,14,68,7,2,0,0,10.1,85.34,
32,Brian Hoyer,QB,CHI,6,134,200,67,1445,7,6,0,98,7,-2,0,0,13.3,79.60,
33,Blaine Gabbert,QB,SF,6,91,160,57,925,6,5,6,68,40,173,4,2,12.1,79.20,
34,Cody Kessler,QB,CLE,9,128,195,66,1380,7,6,2,92,11,18,2,0,8.6,79.00,
35,Robert Griffin III,QB,CLE,5,87,147,59,886,6,2,3,73,31,190,6,2,13.3,69.44,
36,Jared Goff,QB,LAR,7,112,205,55,1089,5,5,7,64,8,16,2,1,7.6,60.16,
37,Josh McCown,QB,CLE,5,90,165,55,1100,7,6,6,72,7,21,3,0,10.4,58.10,
38,Matt Moore,QB,MIA,4,55,87,63,721,8,8,3,106,1,-1,-1,0,13.7,57.74,
39,Jay Cutler,QB,CHI,5,81,137,59,1059,8,4,5,78,5,24,5,0,9.4,51.76,
40,Bryce Petty,QB,NYJ,6,75,133,56,809,6,3,7,60,5,19,4,0,5.4,39.26,
41,Landry Jones,QB,PIT,8,53,86,62,558,7,4,2,86,6,-4,-1,0,4.2,35.92,
42,Jimmy Garoppolo,QB,NE,6,43,63,68,502,8,4,0,113,10,6,1,0,5.8,35.48,
43,Paxton Lynch,QB,DEN,3,49,83,59,497,6,2,1,79,11,25,2,0,9.5,29.38,
44,Jacoby Brissett,QB,NE,3,34,55,62,400,7,0,0,84,16,83,5,1,9.4,28.30,
45,Nick Foles,QB,KC,3,36,55,66,410,8,3,0,106,4,-4,-1,0,9.3,28.00,
46,Derek Anderson,QB,CAR,6,36,53,68,453,9,2,5,68,1,4,4,0,2.8,21.52,
47,Kevin Hogan,QB,CLE,4,14,26,54,104,4,0,2,32,8,105,13,1,4.2,18.66,
48,Matt Cassel,QB,TEN,4,30,51,59,284,6,2,2,71,4,3,1,0,3.9,17.66,
49,Tom Savage,QB,HOU,3,46,73,63,461,6,0,0,81,6,12,2,0,5.9,17.64,
50,Drew Stanton,QB,ARI,5,20,49,41,205,4,2,3,42,3,-3,-1,0,2.0,12.90,
