,Team,OFF.DVOA,LASTYEAR,WEIGHTEDOFFENSE,RANK,PASSOFF.,PASSRANK,RUSHOFF.,RUSHRANK,TOTAL,PASS,RUSH,VAR.,RANK,SCHED,RANK
1,GB,0.247,9,0.268,1,0.465,2,0.053,6,0.249,0.472,0.05,0.053,7,-0.003,16
2,PIT,0.225,12,0.22,2,0.47,1,-0.017,12,0.201,0.408,0.01,0.094,24,0.011,22
3,DEN,0.2,1,0.143,6,0.405,3,0.038,7,0.206,0.41,0.045,0.089,22,-0.019,7
4,DAL,0.168,11,0.191,4,0.359,4,0.066,3,0.156,0.364,0.038,0.074,13,0.009,21
5,SEA,0.168,7,0.152,5,0.21,10,0.29,1,0.177,0.234,0.287,0.061,11,-0.016,9
6,NE,0.135,4,0.193,3,0.35,5,-0.037,14,0.127,0.328,-0.026,0.061,10,-0.018,8
7,NO,0.106,5,0.052,9,0.216,9,0.008,9,0.103,0.211,0.009,0.076,15,0.016,24
8,MIA,0.101,18,0.107,7,0.194,11,0.096,2,0.109,0.221,0.079,0.054,8,-0.021,5
9,BAL,0.094,30,0.058,8,0.319,6,-0.06,18,0.121,0.318,0,0.122,31,0.031,31
10,ATL,0.072,14,0.021,12,0.245,8,-0.099,22,0.081,0.259,-0.097,0.077,17,0.017,25
11,SD,0.07,2,0.036,10,0.294,7,-0.142,25,0.057,0.282,-0.156,0.119,30,-0.04,2
12,KC,0.05,15,0.027,11,0.12,14,0.06,5,0.056,0.152,0.037,0.081,18,-0.02,6
13,PHI,0.011,3,0.011,13,0.116,15,-0.03,13,-0.005,0.102,-0.05,0.031,2,0.002,17
14,CHI,-0.001,6,-0.069,19,0.116,16,-0.012,11,-0.031,0.059,-0.002,0.074,14,-0.008,12
15,NYG,-0.003,31,-0.013,14,0.166,12,-0.115,23,-0.023,0.145,-0.135,0.1,26,-0.005,14
16,SF,-0.004,8,-0.018,15,0.058,21,0.025,8,-0.033,0.065,-0.043,0.061,9,-0.008,13
17,IND,-0.011,13,-0.08,22,0.153,13,-0.16,27,-0.003,0.158,-0.149,0.071,12,0.009,20
18,CIN,-0.014,17,-0.074,21,0.068,20,-0.01,10,0,0.072,0.013,0.089,23,0.015,23
19,DET,-0.038,19,-0.054,17,0.099,17,-0.169,29,0.013,0.151,-0.117,0.036,4,0.026,30
20,CAR,-0.047,10,-0.073,20,0.041,23,-0.055,16,-0.025,0.076,-0.046,0.048,6,0.026,29
21,HOU,-0.068,29,-0.08,23,0.079,18,-0.117,24,-0.045,0.118,-0.108,0.031,3,0.018,27
22,MIN,-0.074,21,-0.026,16,-0.105,29,0.065,4,-0.047,-0.033,0.041,0.089,21,0.007,19
23,ARI,-0.093,20,-0.105,24,0.072,19,-0.181,30,-0.104,0.076,-0.213,0.02,1,-0.028,3
24,CLE,-0.102,26,-0.207,28,0.053,22,-0.154,26,-0.086,0.069,-0.136,0.137,32,0.02,28
25,STL,-0.111,22,-0.14,26,-0.068,26,-0.044,15,-0.133,-0.076,-0.086,0.107,28,-0.027,4
26,BUF,-0.112,25,-0.107,25,0.003,24,-0.161,28,-0.106,0.007,-0.152,0.037,5,-0.005,15
27,NYJ,-0.112,27,-0.066,18,-0.086,27,-0.056,17,-0.103,-0.058,-0.064,0.085,19,-0.009,11
28,WAS,-0.118,23,-0.228,30,-0.053,25,-0.075,19,-0.117,-0.066,-0.055,0.077,16,-0.009,10
29,TEN,-0.164,16,-0.24,31,-0.127,30,-0.089,21,-0.157,-0.111,-0.094,0.11,29,0.005,18
30,OAK,-0.194,28,-0.193,27,-0.101,28,-0.216,32,-0.237,-0.165,-0.226,0.106,27,-0.046,1
31,JAC,-0.243,32,-0.224,29,-0.321,32,-0.082,20,-0.224,-0.291,-0.077,0.087,20,0.017,26
32,TB,-0.263,24,-0.288,32,-0.225,31,-0.194,31,-0.216,-0.162,-0.166,0.094,25,0.039,32
